OBJECTID,HELCOM_ID,Spill_ID,Latitude,Longitude,Length__km,Width__km_,Area__km2_,EstimVol_m3,Date_standard,Polluter
6051,5787,GE/S-3,55.1983333333333,14.065,4.0,2.7,6.48,0.42768,2023-06-20,SHIP
5697,5699,22UTSLÄPP0187,56.3386111111,17.3513888889,0.0,0.0,5.2,0.0312,2022-10-23,SHIP
5576,5578,DK-22UTSLÄPP0181,57.6722222222,10.6191666667,0.0,0.0,0.045,0.06944,2022-10-08,SHIP
5591,5593,FI-3,60.1507,26.5228,0.982,0.215,0.0,0.05,2022-08-02,SHIP
5669,5671,22UTSLÄPP0095,56.105,15.4836111111,0.0,0.0,0.001,0.000823,2022-06-28,SHIP
5663,5665,22UTSLÄPP0084,58.6258333333,16.7994444444,0.0,0.0,0.015,0.00162,2022-06-14,SHIP
5622,5624,PL-16,55.1725,18.8827,0.3,0.03,0.0072,0.002,2022-06-07,SHIP
5658,5660,22UTSLÄPP0071,55.4186111111,13.8072222222,0.0,0.0,0.0135,0.003812,2022-05-18,SHIP
5655,5657,22UTSLÄPP0067,59.44,18.3602777778,0.0,0.0,0.00345,0.004289,2022-05-16,SHIP
5654,5656,22UTSLÄPP0068,55.635,13.0380555556,0.0,0.0,0.001,0.001358,2022-05-16,SHIP
